srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,49.51.203.28,6,*,443,855,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0806,*,*,*,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,147.161.9.180,17,*,26903,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.eu.xiaoyi.com,6,*,80,855,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,*,17,*,32108,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.eu.xiaoyi.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,8.8.8.8,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,download.eu.xiaoyi.com,6,*,80,855,*,*
<gatewayMac>,<deviceMac>,0x0800,api.eu.xiaoyi.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.137.1,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,147.161.9.180,*,17,26903,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,8.8.8.8,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,api.eu.xiaoyi.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,download.eu.xiaoyi.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,49.51.203.28,*,6,443,*,750,*,*
*,<deviceMac>,0x0800,*,*,17,*,27110,610,*,*
<deviceMac>,*,0x0800,*,*,17,27110,*,610,*,*
<deviceMac>,*,0x0800,*,*,17,26779,*,610,*,*
*,<deviceMac>,0x0800,*,*,17,*,26779,610,*,*
