srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,49.51.203.28,17,*,2793,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.10.254,17,*,67,1400,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.us.xiaoyi.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,47.88.137.147,17,*,11291,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.75,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.us.xiaoyi.com,6,*,80,855,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,*,17,*,32108,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,170.106.6.47,17,*,7334,810,*,*
<gatewayMac>,<deviceMac>,0x0800,170.106.6.47,*,17,7334,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,155.33.33.75,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,47.88.137.147,*,17,11291,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,api.us.xiaoyi.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,api.us.xiaoyi.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.10.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,49.51.203.28,*,17,2793,*,710,*,*
<deviceMac>,*,0x0800,*,*,17,25284,*,610,*,*
<deviceMac>,*,0x888e,*,*,*,*,*,650,*,*
*,<deviceMac>,0x0800,*,*,17,*,25284,610,*,*
