srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,cloudservices.roku.com,6,*,443,855,*,*
<deviceMac>,*,0x0800,*,224.0.0.22,2,*,*,1300,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,1300,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,17,*,1900,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,amarillo.sb.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.rokutime.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,52.49.211.113,6,*,443,855,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,uiboot.netflix.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,34.207.253.239,6,*,2350,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,securepubads.g.doubleclick.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,customer-feedbacks.web.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,secure.netflix.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,34.250.251.254,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.198.142.7,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ichnaea.netflix.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ls.cti.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,*,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,scribe.logs.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api2.sr.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,customerevents.netflix.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,pubads.g.doubleclick.net,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,configsvc.cs.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.sr.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api-global.netflix.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,p.ads.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,cooper.logs.roku.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,lat-services.api.data.roku.com,6,*,443,855,*,*
<gatewayMac>,<deviceMac>,0x0800,ichnaea.netflix.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,secure.netflix.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.20.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,p.ads.roku.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,34.207.253.239,*,6,2350,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,uiboot.netflix.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,pubads.g.doubleclick.net,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,configsvc.cs.roku.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,*,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,lat-services.api.data.roku.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,api.sr.roku.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,customerevents.netflix.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,customer-feedbacks.web.roku.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,api.roku.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,scribe.logs.roku.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,155.198.142.7,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,api-global.netflix.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,52.49.211.113,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,api.rokutime.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,cooper.logs.roku.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,ls.cti.roku.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,34.250.251.254,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,securepubads.g.doubleclick.net,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,cloudservices.roku.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,api2.sr.roku.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,amarillo.sb.roku.com,*,6,443,*,750,*,*
<deviceMac>,*,0x0800,*,*,6,8060,*,650,*,*
<deviceMac>,*,0x888e,*,*,*,*,*,650,*,*
*,<deviceMac>,0x0800,*,*,6,*,8060,655,*,*
