srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,155.198.142.7,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,fw-update2.smartthings.com,6,*,443,855,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,1300,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,17,*,1900,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,dc-eu01-EUwESt1.connEcT.SmArTThINgs.CoM,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.smartthings.com,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.198.142.8,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,DC.ConNEcT.smaRTthIngs.COM,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,dc.cOnnECt.SmartThINgS.coM,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,DC-eu01-eUwesT1.cONNeCT.smArTtHings.COM,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,Dc-Eu01-EUWesT1.coNnecT.sMaRTThinGs.cOm,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.20.254,17,*,67,1400,*,*
<deviceMac>,<gatewayMac>,0x0800,*,10.255.255.1,17,*,9,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,Dc.COnnEcT.SmarTThInGS.COM,6,*,443,855,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.20.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,Dc.COnnEcT.SmarTThInGS.COM,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,Dc-Eu01-EUWesT1.coNnecT.sMaRTThinGs.cOm,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,dc-eu01-EUwESt1.connEcT.SmArTThINgs.CoM,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,DC.ConNEcT.smaRTthIngs.COM,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,10.255.255.1,*,17,9,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,DC-eu01-eUwesT1.cONNeCT.smArTtHings.COM,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,155.198.142.8,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,fw-update2.smartthings.com,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,dc.cOnnECt.SmartThINgS.coM,*,6,443,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,155.198.142.7,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,api.smartthings.com,*,6,80,*,750,*,*
*,<deviceMac>,0x0800,*,*,6,*,39500,655,*,*
<deviceMac>,*,0x0800,*,*,17,48899,*,610,*,*
*,<deviceMac>,0x0800,*,*,17,*,48899,610,*,*
<deviceMac>,*,0x0800,*,*,6,39500,*,650,*,*
