srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,checkip.dyndns.org,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.10.254,17,*,67,1400,*,*
<deviceMac>,*,0x0800,*,224.0.0.22,2,*,*,1300,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,255.255.255.255,17,*,67,1300,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,17,*,1900,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,time.nist.gov,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.70,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,time.nuri.net,17,*,123,1001,*,*
<deviceMac>,*,0x0800,*,239.255.255.250,2,*,*,1300,*,*
<deviceMac>,*,0x0800,*,239.255.255.239,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.33.33.75,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.10.254,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,www.3322.org,6,*,80,855,*,*
<gatewayMac>,<deviceMac>,0x0800,time.nist.gov,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,checkip.dyndns.org,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,155.33.33.75,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,time.nuri.net,*,17,123,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,155.33.33.70,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.10.254,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.10.254,*,1,*,*,1001,0,0
<gatewayMac>,<deviceMac>,0x0800,www.3322.org,*,6,80,*,750,*,*
*,<deviceMac>,0x0800,*,*,6,*,49152,655,*,*
<deviceMac>,*,0x0800,*,*,6,49152,*,650,*,*
