srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,192.168.137.1,*,17,67,*,1400,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,192.168.137.1,17,*,67,1400,*,*,0,0
0c:8c:24:0b:39:7b,ff:ff:ff:ff:ff:ff,0x0800,*,*,*,17,*,32108,1300,*,*,1122,17
0c:8c:24:0b:39:7b,ff:ff:ff:ff:ff:ff,0x0806,*,*,*,*,*,*,1300,*,*,2184,52
0c:8c:24:0b:39:7b,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,656,2
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,693,9
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,1,*,*,1000,*,*,3688,8
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,1,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,123,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,123,1000,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,*,*,*,*,17,53,*,1000,*,*,5530,10
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,*,*,*,*,17,*,53,1000,*,*,77,1
*,0c:8c:24:0b:39:7b,0x0806,*,*,*,*,*,*,1000,*,*,2856,68
0c:8c:24:0b:39:7b,*,0x0806,*,*,*,*,*,*,1000,*,*,756,18
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,170.106.6.47,6,*,443,855,*,*,11514874,10446
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,api.eu.xiaoyi.com,6,*,443,855,*,*,16730,143
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,api.eu.xiaoyi.com,6,*,80,855,*,*,444,5
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,47.88.59.209,17,*,32100,810,*,*,6062,101
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,10.159.48.140,17,*,28985,810,*,*,8330,119
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,170.106.6.47,17,*,26677,810,*,*,1153307,2729
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,*,800,*,*,1052,16
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,6,*,*,800,*,*,222,3
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,170.106.6.47,*,6,443,*,750,*,*,643098,7954
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,api.eu.xiaoyi.com,*,6,443,*,750,*,*,51332,124
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,api.eu.xiaoyi.com,*,6,80,*,750,*,*,853,4
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,10.159.48.140,*,17,28985,*,710,*,*,8330,119
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,170.106.6.47,*,17,26677,*,710,*,*,89318,1536
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,47.88.59.209,*,17,32100,*,710,*,*,6062,101
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,*,*,700,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,6,*,*,700,*,*,0,0
0c:8c:24:0b:39:7b,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,0c:8c:24:0b:39:7b,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,6,*,*,600,*,*,0,0
