srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,192.168.137.1,*,17,67,*,1400,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,192.168.137.1,17,*,67,1400,*,*,0,0
0c:8c:24:0b:39:7b,ff:ff:ff:ff:ff:ff,0x0800,*,*,*,17,*,32108,1300,*,*,924,14
0c:8c:24:0b:39:7b,ff:ff:ff:ff:ff:ff,0x0806,*,*,*,*,*,*,1300,*,*,3066,73
0c:8c:24:0b:39:7b,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,334,1
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,47.88.59.209,1,*,*,1001,3,3,90,1
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,47.74.255.9,1,*,*,1001,3,3,90,1
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,47.90.240.160,1,*,*,1001,3,3,90,1
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,693,9
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,1,*,*,1000,*,*,518,7
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,1,*,*,1000,*,*,270,3
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,123,*,1000,*,*,0,0
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,123,1000,*,*,0,0
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,*,*,*,*,17,53,*,1000,*,*,5500,10
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,*,*,*,*,17,*,53,1000,*,*,77,1
*,0c:8c:24:0b:39:7b,0x0806,*,*,*,*,*,*,1000,*,*,4242,101
0c:8c:24:0b:39:7b,*,0x0806,*,*,*,*,*,*,1000,*,*,1176,28
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,api.xiaoyi.com.tw,6,*,443,855,*,*,18251,162
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,api.xiaoyi.com.tw,6,*,80,855,*,*,444,5
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,147.161.12.152,17,*,36422,810,*,*,7706697,27631
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,147.161.12.152,17,*,36441,810,*,*,1139787,3235
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,17,*,*,800,*,*,488,8
0c:8c:24:0b:39:7b,f2:d5:bf:42:f9:d2,0x0800,*,*,*,6,*,*,800,*,*,148,2
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,api.xiaoyi.com.tw,*,6,443,*,750,*,*,61277,153
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,api.xiaoyi.com.tw,*,6,80,*,750,*,*,919,5
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,147.161.12.152,*,17,36422,*,710,*,*,742066,14763
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,147.161.12.152,*,17,36441,*,710,*,*,84168,1522
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,*,*,700,*,*,186,3
f2:d5:bf:42:f9:d2,0c:8c:24:0b:39:7b,0x0800,*,*,*,6,*,*,700,*,*,0,0
0c:8c:24:0b:39:7b,*,0x888e,*,*,*,*,*,*,650,*,*,0,0
*,0c:8c:24:0b:39:7b,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,0c:8c:24:0b:39:7b,0x0800,*,*,*,6,*,*,600,*,*,0,0
