srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,18:b4:30:c8:d8:28,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,2736,8
18:b4:30:c8:d8:28,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,2950,5
18:b4:30:c8:d8:28,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,5180,48
18:b4:30:c8:d8:28,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,838,13
18:b4:30:c8:d8:28,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,1180,2
18:b4:30:c8:d8:28,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,40,2
18:b4:30:c8:d8:28,22:ef:03:1a:97:b9,0x0800,*,*,time.nest.com,17,*,123,1001,*,*,630,7
18:b4:30:c8:d8:28,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.70,17,*,53,1001,*,*,10556,122
18:b4:30:c8:d8:28,22:ef:03:1a:97:b9,0x0800,*,*,155.33.33.75,17,*,53,1001,*,*,10556,122
22:ef:03:1a:97:b9,18:b4:30:c8:d8:28,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,18:b4:30:c8:d8:28,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,18:b4:30:c8:d8:28,0x0800,*,*,*,1,*,*,1000,*,*,0,0
18:b4:30:c8:d8:28,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
18:b4:30:c8:d8:28,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
18:b4:30:c8:d8:28,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,18:b4:30:c8:d8:28,0x0800,*,*,*,17,123,*,1000,*,*,720,8
18:b4:30:c8:d8:28,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,90,1
22:ef:03:1a:97:b9,18:b4:30:c8:d8:28,*,*,*,*,17,53,*,1000,*,*,34376,246
18:b4:30:c8:d8:28,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,166,2
